Id,Name,address,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime,Sources
1,Government,0xf45717552f12ef7cb65e95476f217ea008167ae3,723,846,2938.8861,2938.8861,"$35,738","$40,066.24",40,27,2016-03-08,2017-03-20,377,
2,EthereumPyramid,0x7011f3edc7fa43c81440f9f43a6458174113b162,978,339,986.0811857,916.7811857,"$5,044","$5,290.46",327,125,2015-09-07,2018-04-11,947,
3,ProtectTheCastle2,0x7d56485e026d5d3881f778e99969d2b1f90c50af,890,1257,1332.22463,1332.22463,"$186,040","$190,802.38",101,68,2016-03-20,2018-02-22,704,
4,TreasureChest,0x4865e85c72a27ca6c362da75ba6707c07464b953,73,1197,87.55649206,87.38955156,$946,$940.82,16,10,2016-03-26,2016-04-07,12,
5,ZeroPonzi,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,627,499,4489.783776,4489.177096,"$49,816","$49,770.97",47,28,2016-04-04,2017-10-27,571,
6,Ethstick,0xba6284ca128d72b25f1353fadd06aa145d9095af,230,360,788.8097667,788.1477684,"$8,033","$8,018.67",45,17,2016-04-06,2018-09-04,881,
7,Doubler2,0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,395,161,4857.752036,4825.316506,"$26,376","$26,220.34",211,68,2016-02-16,2018-11-22,1010,
8,DynamicPyramid,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,444,143,7474.185568,7437.20649,"$84,187","$83,541.68",175,51,2016-02-23,2018-10-01,951,
9,Etheramid1,0x9758da9b4d001ed2d0df46d25069edf53750767a,111,382,110,110,$909,$908.85,103,41,2016-04-14,2016-05-11,27,
10,DianaEthereum-x1.8,0xca7c390f8f843a8c3036841fde755e5d0acb97da,288,168,5307.419102,5303.565175,"$61,166","$61,266.87",129,84,2016-03-08,2018-05-17,800,
11,Rubixi,0xe82719202e5965cf5d9b6673b7503a3b92de20be,686,66,1367.046706,1363.042441,"$16,986","$16,775.03",104,28,2016-03-14,2019-01-04,1026,
12,PiggyBank2,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,356,197,315.9363935,313.3908851,"$3,487","$3,442.81",40,37,2016-03-22,2018-10-15,937,
13,LittleCactus,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,125,197,806.7036668,803.2652621,"$8,680","$8,607.27",51,37,2016-03-31,2018-09-04,887,
14,WealthRedistributionProject,0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,25,213,41.10283299,40.10283299,$475,$463.00,18,17,2016-04-02,2017-11-09,586,
15,GreedPit,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,370,66,918.0338462,895.1777655,"$10,617","$10,379.22",62,13,2016-03-27,2018-09-03,890,
184,Unnamed 35,0x6492904953ed9015d6b37f8063b65c8de105d837,6,6,0.41,0.39,$3.61,$3.41,2,2,2016-04-10,2016-04-10,0,
